"","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","F1","F2","F3","G1","G2","G3","H1","H2","H3","I1","I2","I3"
"ANPEP",4.88950384021822,4.5065303997323,4.74758554357786,5.00099734040034,4.8601725001531,4.75879847217764,4.74003452846623,4.7530993945543,4.5598760807009,4.67891866552006,4.79113620500774,4.65086521355171,4.69189429838726,4.66454305868761,4.58612515490083,4.5313672232862,4.75669777955532,4.52393116664537,4.56486238203522,4.60254756921435,4.83144251675193,4.5643954369792,4.68920123932755,4.58653999665879,4.54648924282685,4.35935578620843
"APOBEC2",5.77047230038483,5.89088609612281,5.76781411473648,6.31072844990185,5.72461576675635,5.68206190442572,5.72915110068999,5.63759584323142,5.51470150387284,5.7846241649432,5.95780034930905,5.5154826222228,5.50286863877036,5.39944032524001,5.67999993595141,5.42330645336387,5.69065023877735,5.65106599841865,5.53363799926311,5.62300242120807,5.87607521430155,5.69917768853242,5.74814917876722,5.45657156942609,5.52274139669469,5.50645124305042
"APOL6",5.15859003936462,5.83854264574864,5.42328849627953,5.12529289347511,5.57398782411016,5.54314824536934,5.48781073568577,5.59893512955212,5.56859933986319,5.39875118410933,5.45872271480927,5.41409547355389,5.44321735059683,5.69348743534616,5.36974002212948,5.36858858418451,5.32889752451695,5.26185489679886,5.21983957196739,5.22229981911721,5.16820928679486,4.99484335063219,5.17484431920557,5.09459699578396,4.95623561518761,4.99670107217633
"ARHGEF10",6.62626989999253,6.54679930200117,6.85627887820912,6.61163681923376,6.58156744978432,6.68603811200201,6.60924882671069,6.63834009942899,6.75807691105457,6.84968231792348,6.82909751858025,7.07460698274083,6.95936107672248,6.64414442920904,6.97745929819245,7.32646149162895,7.029431629801,7.24139468668692,7.32587336549621,7.3145857253228,7.51243503019029,7.73144412678363,7.12699280416474,7.33264971314278,7.40038161306741,7.61991012060687
"ARL4D",5.75408753259805,6.0299367283552,5.99490442689115,5.8503343393436,6.35369562682346,6.51058384014721,6.861110890241,6.71483742329515,6.1962072244916,6.93868551188149,6.4872591677482,6.43780247049958,6.2805462281585,6.11439269645885,6.36998955883285,6.48813808552635,6.35182528572723,6.38747952849163,6.23734066296121,6.47529077212788,6.50295449788484,6.48896067204266,6.61935958114174,6.91946331347405,6.89383380855596,6.72923923777394
"ARPC1B",10.2888028766064,9.6614807609268,10.0982422942567,10.1999980444299,10.1580368163229,9.8315037431982,10.2025360646822,10.2197813216389,10.4326785487737,10.2854799603882,10.4241877290668,10.7190677688546,10.7486231488016,10.421275308831,11.0022964398762,11.0980100029939,10.7512364316232,11.1767127136235,11.0349331786444,10.8736624576247,11.1096160524566,11.1970215785571,11.0064448608412,11.129281377265,11.1857803792937,11.0708898961485
"ARV1",7.13820929263329,7.52219722975079,7.36758947142422,6.95059740705192,7.18502725606645,7.30473180716966,7.12599235194685,7.09892013966498,7.20123019770126,7.14640277061498,7.19012586423306,6.97036926879781,7.00850689838388,7.14860712964077,6.91838071424088,6.80649280667576,6.96501458724369,6.76130985677784,6.77700779402023,7.00428330979377,6.51040785914487,6.67844006342607,6.95825617908545,6.73651820555139,6.67075845212758,6.77804701183087
"ASB10",5.23813612438679,5.17376016556049,5.22179162947859,5.30659587241924,5.31220098994571,5.29593578389155,5.48456512331032,5.43109552839348,5.13691544441042,5.40133455289315,5.28052695994361,5.32061760184599,5.27253498411546,5.2775111090113,5.29879387867509,5.25033218602133,5.36138187288128,5.33263752873138,5.24141671080445,5.18804554275969,5.48438664730633,5.20413248552908,5.41463111089068,5.42795705874756,5.48150372072177,5.20575196805499
"ASB7",6.8500008350489,6.80998798788194,6.7717638478359,6.72434847673904,6.63241258993684,6.56483923945783,6.31352970774644,6.47717382621229,6.8597839285966,6.61772368028369,6.68209263354679,6.84057097332451,6.9171942636821,7.05357534443537,6.82820423239929,6.81377008360679,6.62582252154517,6.79605868339693,6.79288160226739,6.69756425267637,6.55076981557537,6.7417174249625,6.68453007588955,6.94937913778293,6.92083984213915,6.91784979038392
"ATF6",7.54197312106855,8.12002923695778,7.9683903262891,7.94296947845436,7.9274426569889,8.49380839146429,8.19811347188588,7.93835363729765,8.38601183971017,8.20858049493356,8.14729915662858,8.27924016636175,7.88973777227942,8.3834631358505,8.12456929339537,8.02367430944999,8.29107371142383,8.36452643176946,8.3089182965792,8.55096818592791,8.2201353273577,8.18943758100034,8.39561156023195,8.03170245835055,7.85546277642054,8.05213708493319
"ATP12A",5.89561622959418,5.74779907760949,5.90587108961877,5.82160552725565,5.94109940322982,5.91271227957967,5.81275835513968,5.78389453777485,5.90759236874898,5.71760627839433,5.79195168077144,5.67798543462707,5.71045631369827,5.81107227428228,5.83181380776257,5.62871808460161,5.68257268422124,5.59353267512634,5.78621387346129,5.72632387907391,6.08475095176758,5.77870175580754,5.91979779553703,6.00282031377168,5.80058242913463,5.68175970700976
"ATP13A4",4.15499290882035,4.28991802364555,4.14319890218556,4.18148652185812,4.23473887783598,4.1811907827975,4.18420490014436,4.19804295290417,4.05858572101761,4.10718429757763,4.16777132871114,4.12067707281988,4.1270080375641,4.10594613730874,4.31055078146689,4.03552282197494,4.10489566574285,4.18044452644541,4.2105654758258,4.1193458964977,4.24511333728676,3.97458292287446,4.24772182633599,4.15758996793525,4.23863737733178,4.18456563210983
"B4GALNT3",5.57134073642595,5.42508326606184,5.50536838689404,5.58225791584492,5.56501376653999,5.45417579889912,5.588442959298,5.44724675781386,5.37152650713099,5.45960301343594,5.36501685849334,5.4446885255246,5.57306224279154,5.47030705061888,5.40382153618107,5.31898951230241,5.45619371319592,5.34057821227016,5.20322648841525,5.3291267972,5.68729194967723,5.35954090468505,5.67580758449653,5.40882477012955,5.40233952723527,5.3814601960149
"BCAS3",6.99633328919029,6.98359863673939,6.72933583843043,7.16907060017031,6.73024507160611,7.05131702974701,6.93540134689573,6.95069810958515,7.05867274223655,6.8632564152833,6.82757636910504,7.12921393261108,7.03504289790606,7.06469849465039,6.60071058651194,6.5760438486268,6.60200054671883,6.48998992075391,6.72884377233561,6.65643196431321,6.94927775850748,6.6104473890434,6.93627185981489,6.73249904531138,6.73172552810212,6.69514038986819
"BCLAF3",6.47090850889611,6.6392560839458,6.80429349698265,6.06357708078091,6.89494918788317,7.22682695725372,6.96240067861747,6.75264243577092,7.34876131607597,6.93822254341423,6.80503423343158,7.56162450875571,7.19087726618227,7.36988655450986,7.58345075662258,7.74407268188533,7.68218284595765,7.50009910320336,7.74571907914446,7.29124911506838,6.31888490545673,7.41170168470002,6.87870001089841,7.34029573873237,7.57788709232457,7.46697108700547
"BFSP2-AS1",4.66585028652559,4.49113182340549,4.59650357102514,4.84661865831541,4.54729752768337,4.48352037046332,4.66776143151224,4.55310425716711,4.39635169515586,4.53797172034382,4.59169227098317,4.60118281512162,4.5606701689594,4.65946502417954,4.75285301552447,4.51041938295134,4.6568090448783,4.38879242560648,4.57897989978607,4.61839184419448,4.77041499727776,4.42242141070265,4.63933854101355,4.62139154197022,4.63308268273976,4.57852108098735
"BLVRA",7.72071293356749,7.58492725523375,7.76057951657505,7.85264605856673,7.69489760304578,7.62185715079924,7.74173266238451,7.60955848683386,7.65626505887868,7.73445285776611,7.73087435323069,7.60616451055947,7.65975049916193,7.65000114571451,7.60515406308614,7.42688615574212,7.63059639201593,7.41434894691098,7.28433109686163,7.26991785220226,7.45224352909196,7.32589167865183,7.30043081851897,7.41694994866558,7.3165506963327,7.26067578070374
"BRINP2",4.29160036430973,4.76136407697404,4.39264570802269,4.38794153088375,4.72001765939538,4.6238012325973,4.44715064179931,4.49991546753093,4.44821865036479,4.47601997633519,4.64836958598879,4.61232756835233,4.47280674425525,4.23613756225034,4.7042909595174,4.47138344350198,4.37131178013214,4.39392073180001,4.34843860053844,4.32316996784941,4.43835396316622,4.52013961735835,4.47679477335968,4.54264597537557,4.52429576039763,4.31484738952093
"BTK",5.76618072458923,5.82567718648705,5.95462231413144,5.8096585348575,5.90195662241044,6.01366021820715,5.9908589564211,5.94275293661714,5.76482341396055,5.81587038271368,5.77775161283138,5.68823522980747,5.80814191111233,6.17347164681382,6.02331288386445,5.79793627615919,5.84184032242997,5.79585382976274,5.66097934793359,5.69377879782546,5.97663949320308,5.84085291431202,5.80432361047104,5.56841913450531,5.77870175580753,5.83456080915547
"C12orf42",4.48871344524417,4.26935241784003,4.30043283081425,4.43358290906727,4.38790159572212,4.27418007983376,4.30871992929227,4.26746362277506,4.23183971141623,4.20956311271353,4.2843008405981,4.49525586525458,4.16996819077956,4.21028711973957,4.48724849242177,4.28765890471964,4.36696493423125,4.31461014565023,4.30137903062085,4.17755122901582,4.50544118272941,4.28585084152446,4.41136438215972,4.39787926255222,4.26594513963733,4.32803508826473
"C12orf76",6.04020834022859,5.9155589144118,6.13840579954066,5.8907034251299,5.88116818940939,5.75346241787946,5.82569777516125,5.7331280307152,5.84342641305519,5.6878315943694,5.65387839864242,5.7837327938403,5.9651131688112,5.87989881859838,5.85774778977012,5.82634004437363,5.65719299340182,5.69105622554904,5.69599441264719,5.79396371389345,5.63443610385962,5.75299022561807,5.98185872499409,5.93532099121116,6.11288344683186,5.94207835503034
